,0,1,2,3,4,5,6,7
0,3M India,26442.50,0.72,806,26425.20,26448.10,1.00,1.00
1,Aarti Ind,1699.95,1.55,639789,1699.40,1699.85,3.00,10.00
2,AAVAS Financier,2325.00,0.90,110127,2325.05,2326.90,8.00,1.00
3,AB Capital,122.70,-1.25,1206023,122.50,122.60,9095.00,736.00
4,ABB India,1652.00,-2.29,81358,1653.25,1653.90,186.00,2.00
5,Abbott India,16019.40,0.34,9345,16000.55,16018.80,4.00,1.00
6,ACC,2013.40,-0.70,115285,2012.80,2013.10,1.00,99.00
7,Adani Green Ene,1282.60,-0.38,209404,1281.50,1282.00,4.00,16.00
8,Adani Ports,824.40,-0.08,5754417,824.50,824.65,1129.00,53.00
9,Adani Power,104.40,3.62,24177964,104.40,104.45,1241.00,1632.00
10,Adani Total Gas,1615.25,-0.48,834411,1612.50,1612.60,15.00,20.00
11,Adani Trans,1589.80,0.69,402023,1587.80,1588.95,56.00,53.00
12,Aditya Birla F,204.20,3.58,5992690,204.15,204.30,273.00,32.00
13,Advanced Enzyme,414.20,-0.43,100692,414.00,414.20,94.00,291.00
14,Aegis Logistics,372.85,-0.61,204189,372.45,372.80,1.00,1.00
15,Affle India,5380.80,0.04,25774,5377.55,5380.00,5.00,8.00
16,AFL,145.85,-1.42,349645,145.65,145.80,75.00,83.00
17,AIA Engineering,1953.50,0.23,6804,1949.70,1952.75,4.00,4.00
18,Ajanta Pharma,1945.00,0.66,11381,1942.45,1944.45,5.00,7.00
19,Akzo Nobel,2259.30,-0.45,4878,2259.30,2261.65,73.00,1.00
20,Alembic Pharma,948.75,-0.59,144874,948.15,948.70,5.00,38.00
21,Alkem Lab,3170.00,-0.28,40888,3169.50,3171.20,9.00,16.00
22,Alkyl Amines,3586.20,-0.12,19814,3587.50,3588.00,42.00,51.00
23,Allcargo,133.55,-0.19,96046,133.55,133.65,308.00,118.00
24,Amara Raja Batt,752.75,-0.04,1516592,752.50,752.70,99.00,46.00
25,Amber Enterpris,2768.85,-0.69,27068,2767.00,2768.85,24.00,2.00
26,Ambuja Cements,332.50,-0.43,876445,332.30,332.50,457.00,75.00
27,APL Apollo,1383.85,3.90,512710,1385.10,1385.75,5.00,3.00
28,Apollo Hospital,3375.85,-1.47,187364,3375.15,3377.40,25.00,11.00
29,Apollo Tyres,230.05,-0.28,2398760,230.10,230.25,336.00,508.00
30,Asahi India,331.30,-3.30,107984,331.40,331.85,18.00,2.00
31,Ashok Leyland,123.90,-0.36,3887234,123.80,123.90,11937.00,17058.00
32,Ashoka Buildcon,93.65,-0.05,301346,93.50,93.55,525.00,446.00
33,Asian Paints,2944.00,0.29,775352,2944.00,2944.05,377.00,11.00
34,Aster DM Health,149.80,2.18,439845,149.55,149.80,63.00,286.00
35,Astral Ltd,1899.50,0.40,64294,1898.55,1899.45,31.00,2.00
36,AstraZeneca,3833.00,1.92,65205,3833.10,3837.50,4.00,4.00
37,Atul,8620.00,0.69,13268,8615.15,8618.70,34.00,1.00
38,AU Small Financ,1009.00,0.23,304765,1009.00,1009.55,209.00,17.00
39,Aurobindo Pharm,963.00,-0.46,616164,963.25,963.40,88.00,289.00
40,Avanti Feeds,600.40,-1.17,205861,600.05,600.40,48.00,50.00
41,Avenue Supermar,3208.25,0.32,233645,3202.40,3204.25,3.00,10.00
42,Axis Bank,744.85,-0.79,5461209,744.55,744.70,55.00,362.00
43,Bajaj Auto,4246.85,-0.66,167521,4245.25,4245.30,24.00,37.00
44,Bajaj Consumer,289.40,1.14,320857,289.20,289.40,77.00,198.00
45,Bajaj Electric,1071.70,0.19,131077,1071.05,1071.80,66.00,9.00
46,Bajaj Finance,5912.50,0.23,866085,5914.00,5915.00,15.00,32.00
47,Bajaj Finserv,11796.00,-0.14,67104,11801.75,11803.60,1.00,12.00
48,Bajaj Holdings,3527.85,-0.02,50516,3526.15,3527.85,1.00,15.00
49,Balkrishna Ind,2208.00,-0.38,86087,2209.10,2210.35,1.00,12.00
50,Balmer Lawrie,136.50,-0.51,104808,136.45,136.50,15.00,47.00
51,Balrampur Chini,313.80,0.37,407606,313.75,314.05,100.00,742.00
52,Bandhan Bank,311.70,-1.90,2889087,311.60,311.65,104.00,227.00
53,Bank of Baroda,81.65,-0.31,18389800,81.50,81.55,17019.00,2006.00
54,Bank of India,82.65,2.99,15053550,82.50,82.60,71506.00,9392.00
55,Bank of Mah,25.90,0.58,11802524,25.85,25.90,30682.00,16602.00
56,BASF,2515.10,-0.34,11132,2515.50,2517.75,5.00,1.00
57,Bata India,1550.20,-0.05,69836,1550.00,1550.20,31.00,71.00
58,Bayer CropScien,5321.85,0.41,7717,5314.85,5320.65,2.00,1.00
59,BEML,1342.40,2.91,919792,1341.40,1342.70,169.00,24.00
60,Berger Paints,796.50,-0.55,397793,796.10,796.15,1.00,14.00
61,Bharat Dynamics,365.70,-0.79,34404,365.25,365.80,36.00,3.00
62,Bharat Elec,150.95,-0.17,3295500,150.90,150.95,1154.00,704.00
63,Bharat Forge,697.85,0.26,1129535,697.50,697.70,100.00,1582.00
64,Bharat Rasayan,13006.85,0.37,1292,13006.80,13024.20,5.00,1.00
65,Bharti Airtel,532.80,0.17,2264701,532.80,532.95,2214.00,160.00
66,BHEL,71.55,-1.17,13745112,71.50,71.55,36825.00,17494.00
67,Biocon,384.95,-0.03,875065,384.75,385.05,188.00,540.00
68,Birla Corp,1246.00,-0.91,26461,1245.30,1246.30,1.00,9.00
69,Birlasoft,332.60,1.34,1280749,332.10,332.30,257.00,79.00
70,Bliss GVS,111.95,0.72,193306,111.85,111.95,12.00,438.00
71,Blue Dart,6082.75,0.34,3050,6070.05,6076.30,2.00,5.00
72,Blue Star,836.65,-0.14,58390,836.65,837.40,18.00,10.00
73,Bombay Burmah,1291.90,-0.05,21909,1291.75,1292.00,1.00,5.00
74,Bombay Dyeing,81.15,-1.76,983968,81.05,81.15,25.00,826.00
75,Bosch,15530.00,-0.20,17215,15511.30,15526.75,8.00,5.00
76,BPCL,478.20,0.87,3753156,478.00,478.05,196.00,210.00
77,Brigade Ent,272.30,1.10,74818,272.25,272.30,10.00,46.00
78,Britannia,3494.00,-0.09,132331,3492.00,3492.80,15.00,13.00
79,BSE Limited,923.00,-0.85,199443,922.70,923.30,28.00,39.00
80,Cadila Health,639.00,0.67,2763703,638.65,638.95,8.00,260.00
81,Can Fin Homes,550.35,1.51,501158,550.25,550.30,54.00,13.00
82,Canara Bank,161.45,-1.10,5888493,161.40,161.45,50.00,1801.00
83,Caplin Labs,599.75,0.13,61658,598.85,599.00,1.00,12.00
84,Capri Global,529.35,3.45,88983,529.10,529.90,832.00,14.00
85,Carborundum,589.90,0.87,52788,589.25,589.90,200.00,26.00
86,CARE Ratings,569.40,0.00,92151,568.35,569.20,1.00,1.00
87,Castrol,141.75,5.82,12594546,141.65,141.75,2521.00,1413.00
88,CCL Products,365.00,-1.72,133939,364.70,364.75,13.00,4.00
89,CDSL,968.00,0.16,234756,968.00,968.50,972.00,175.00
90,Ceat,1329.05,-1.03,61364,1328.00,1328.05,116.00,37.00
91,Central Bank,20.85,0.72,7345297,20.85,20.90,47313.00,64402.00
92,Century,509.00,1.07,132512,509.50,509.90,6.00,47.00
93,CenturyPlyboard,405.80,-1.30,56631,405.50,405.90,5.00,18.00
94,Cera Sanitary,4076.60,0.54,1124,4076.55,4076.60,39.00,2.00
95,CESC,697.40,0.90,279285,697.20,697.50,160.00,98.00
96,CG Consumer,404.05,-1.41,662391,404.00,404.20,20.00,115.00
97,Chambal Fert,288.90,0.35,273847,288.75,288.95,143.00,569.00
98,Chennai Petro,136.25,2.09,583555,136.25,136.40,383.00,27.00
99,Chola Fin Hold,675.45,0.42,43369,676.95,677.00,35.00,50.00
100,Chola Invest.,562.00,-1.47,925830,561.25,561.40,393.00,85.00
101,Cipla,948.80,0.03,1705194,948.05,948.50,514.00,145.00
102,City Union Bank,166.45,-0.81,773983,165.75,165.90,1519.00,100.00
103,Coal India,152.35,2.18,13132653,152.30,152.35,3282.00,9503.00
104,Cochin Shipyard,383.15,-0.17,69855,383.05,383.10,200.00,16.00
105,COFORGE LTD.,3691.10,1.34,349470,3692.00,3694.00,10.00,12.00
106,Colgate,1704.75,-0.56,134083,1704.60,1704.75,68.00,48.00
107,Container Corp,708.40,0.16,987426,708.75,708.90,66.00,1562.00
108,Coromandel Int,830.80,2.68,626564,832.15,832.60,5.00,8.00
109,CreditAccess Gr,713.60,3.56,248643,713.95,714.50,9.00,8.00
110,CRISIL,2041.20,-0.20,21668,2038.70,2040.30,5.00,3.00
111,CSB Bank,321.75,-2.20,103172,320.60,320.95,99.00,60.00
112,Cummins,807.00,-0.20,408156,807.05,807.45,47.00,74.00
113,Cyient,803.30,-0.07,41958,802.55,803.25,20.00,16.00
114,Dabur India,541.10,0.08,821818,541.25,541.40,1.00,10.00
115,Dalmia Bharat,1787.00,-0.06,8619,1786.10,1787.00,16.00,60.00
116,DB Corp,94.85,0.90,109478,94.65,94.85,260.00,186.00
117,DCB Bank,103.70,-0.48,629522,103.60,103.75,1666.00,1723.00
118,DCM Shriram,712.10,-1.39,57044,711.30,712.10,1.00,1.00
119,Deepak Nitrite,1737.30,-0.27,272766,1735.50,1736.35,69.00,14.00
120,Delta Corp,184.55,3.94,3333179,184.55,184.70,401.00,6186.00
121,Dhani Services,186.20,4.99,707425,186.20,0.00,149775.00,0.00
122,Dhanuka Agritec,931.70,-1.17,56201,931.00,931.70,2.00,1.00
123,Dilip Buildcon,556.40,-1.19,138289,555.65,556.35,12.00,34.00
124,Dish TV,15.15,-0.66,4068662,15.15,15.20,36270.00,18842.00
125,Dishman Carboge,209.90,-0.71,295852,209.50,209.60,21.00,2.00
126,Divis Labs,4243.00,0.29,133256,4243.00,4244.75,35.00,30.00
127,Dixon Technolog,4305.15,-0.40,139680,4305.05,4308.35,8.00,16.00
128,DLF,296.30,-0.52,4780570,296.05,296.10,1741.00,23.00
129,Dr Lal PathLab,2890.25,-0.14,69313,2892.65,2893.90,1.00,27.00
130,Dr Reddys Labs,5252.75,-0.54,169363,5252.45,5253.20,1.00,1.00
131,eClerx Services,1264.70,-0.30,14187,1262.50,1264.45,3.00,8.00
132,Edelweiss,68.10,1.04,1121622,68.10,68.15,2799.00,532.00
133,Eicher Motors,2755.30,-0.43,360205,2755.95,2756.35,75.00,1.00
134,EID Parry,421.00,-0.39,127824,421.05,421.40,2.00,63.00
135,EIH,119.20,8.05,3584060,119.45,119.55,538.00,840.00
136,Elgi Equipments,214.45,1.49,63976,214.45,214.60,121.00,48.00
137,Emami,559.40,1.91,416351,559.10,559.35,507.00,4.00
138,Endurance Techn,1496.45,-0.37,42888,1495.00,1496.35,27.00,10.00
139,EngineersInd,84.45,-0.53,983784,84.45,84.50,289.00,1021.00
140,EPL,247.05,-1.36,188427,247.00,247.05,231.00,3.00
141,Equitas Holding,90.30,0.11,806253,90.30,90.35,266.00,28.00
142,Eris Life,697.55,0.04,42140,697.05,697.80,32.00,1.00
143,Esab India,1831.40,1.07,1122,1825.65,1829.00,4.00,13.00
144,Escorts,1210.90,-0.48,1404749,1210.20,1210.80,659.00,80.00
145,Exide Ind,193.00,0.10,818536,192.95,193.05,25.00,1067.00
