,0,1,2,3,4,5,6,7
0,Aarti Ind,1755.95,2.55,965689,1754.25,1755.45,83.00,7.00
1,AB Capital,123.70,-0.96,1442476,123.70,123.85,142.00,444.00
2,Adani Green Ene,1273.50,0.71,473947,1273.60,1273.80,43.00,14.00
3,Adani Power,148.80,17.26,170099034,148.75,148.80,1128.00,277.00
4,Adani Total Gas,1629.95,0.18,1086110,1629.90,1629.95,7.00,17.00
5,Aditya Birla F,205.70,0.37,1311483,205.55,205.70,32.00,32.00
6,Ajanta Pharma,1953.00,0.08,24102,1953.00,1954.70,31.00,6.00
7,Alkem Lab,3145.50,0.16,101121,3145.55,3147.70,6.00,3.00
8,Amara Raja Batt,756.90,-0.47,672403,756.75,756.90,391.00,391.00
9,Apollo Hospital,3288.70,-0.75,540004,3289.45,3290.35,33.00,8.00
10,Apollo Tyres,235.95,-0.61,5500857,235.95,236.00,5.00,904.00
11,Ashok Leyland,128.65,0.12,8205733,128.50,128.55,34926.00,9099.00
12,AU Small Financ,1007.00,-1.29,375935,1008.20,1008.95,114.00,6.00
13,Balkrishna Ind,2247.00,0.17,293656,2247.40,2248.80,27.00,4.00
14,Bank of India,82.40,-2.84,8216336,82.20,82.25,13585.00,537.00
15,Bata India,1572.30,-0.25,196742,1570.70,1571.50,42.00,31.00
16,Bharat Elec,150.95,-1.50,7465477,151.00,151.05,4693.00,19.00
17,Bharat Forge,759.00,1.19,2361527,758.95,759.35,395.00,4.00
18,BHEL,76.35,-0.84,51815104,76.35,76.40,34752.00,63430.00
19,Bombay Burmah,1327.95,1.23,237330,1327.05,1328.40,2.00,9.00
20,Canara Bank,158.65,-1.37,13667067,158.65,158.70,480.00,9522.00
21,Castrol,150.85,-1.50,3479304,150.85,150.95,986.00,10.00
22,CESC,772.85,4.08,1886063,772.70,772.90,2.00,63.00
23,CG Consumer,406.15,-0.21,531222,406.15,406.20,20.00,126.00
24,Chola Invest.,570.05,-1.87,2424267,569.25,569.30,66.00,15.00
25,City Union Bank,166.45,-0.45,1595729,166.55,166.60,17.00,9741.00
26,COFORGE LTD.,3808.00,2.55,737184,3807.00,3808.00,1.00,2.00
27,Coromandel Int,838.00,-2.58,190322,837.50,837.65,27.00,11.00
28,Cummins,816.05,0.42,525887,816.15,816.40,1.00,166.00
29,Dalmia Bharat,1804.00,1.99,34627,1803.30,1804.00,1.00,4.00
30,Dhani Services,205.25,4.99,1439552,205.25,0.00,63065.00,0.00
31,Dr Lal PathLab,3013.30,1.58,469665,3015.00,3016.00,18.00,328.00
32,Edelweiss,75.00,0.74,3324015,74.85,74.90,55.00,1083.00
33,Emami,551.05,3.00,402107,550.85,550.95,90.00,5.00
34,Endurance Techn,1490.00,-1.08,41793,1490.00,1491.00,87.00,29.00
35,Escorts,1204.50,-0.68,1018271,1204.15,1204.75,46.00,31.00
36,Exide Ind,196.75,-0.03,1835853,196.75,196.85,14.00,2222.00
37,Federal Bank,86.55,-1.14,9340135,86.50,86.55,98311.00,3817.00
38,Fortis Health,236.85,0.32,4435243,236.90,237.00,1000.00,151.00
39,Future Retail,53.65,0.66,2961902,53.55,53.60,1283.00,10.00
40,Glenmark,615.90,0.02,2993528,616.30,616.45,91.00,158.00
41,GMR Infra,27.15,1.12,7344868,27.00,27.05,5784.00,36754.00
42,Godrej Agrovet,556.40,-0.71,50928,556.50,556.95,3.00,1.00
43,Godrej Ind,540.60,1.32,227464,540.60,540.85,15.00,2.00
44,Godrej Prop,1397.80,-0.48,367999,1397.00,1397.05,77.00,10.00
45,Guj State Petro,304.40,-0.41,749000,304.45,304.75,174.00,460.00
46,Gujarat Gas,596.30,-1.74,1158950,596.75,596.95,2.00,18.00
47,Hexaware Tech,470.80,0.00,268017,0.00,470.80,0,620
48,HUDCO,51.00,-0.68,2150095,51.00,51.05,730.00,3472.00
49,IDFC First Bank,59.25,-1.82,17432710,59.25,59.30,17844.00,58010.00
50,Indiabulls Hsg,252.15,1.72,14169812,252.05,252.15,1813.00,252.00
51,Indian Hotels,135.90,-0.04,2579033,135.80,135.90,1953.00,3667.00
52,Ipca Labs,2039.90,-0.12,264893,2038.70,2039.95,1.00,115.00
53,IRCTC,2158.50,3.04,5672988,2158.50,2158.55,26.00,4.00
54,Jindal Steel,401.10,-0.88,6728964,401.10,401.25,3439.00,269.00
55,JSW Energy,143.30,2.39,6826303,143.40,143.50,2509.00,199.00
56,Jubilant Food,3148.25,0.09,503884,3149.00,3149.20,92.00,2.00
57,Jubilant Pharmo,775.65,-1.30,405295,775.80,776.00,7.00,194.00
58,L&T Finance,96.70,-0.72,8429523,96.70,96.75,8591.00,12386.00
59,L&T Technology,2805.80,0.98,242303,2801.85,2804.00,8.00,16.00
60,LIC Housing Fin,517.00,-0.72,2720972,516.50,516.70,784.00,217.00
61,M&M Financial,168.50,-1.32,7148620,168.45,168.50,1284.00,1143.00
62,Mahanagar Gas,1184.65,-0.04,201890,1184.50,1184.60,40.00,62.00
63,Manappuram Fin,165.30,-0.21,3439016,165.05,165.10,11.00,16.00
64,Max Financial,1008.05,2.37,1961516,1006.90,1006.95,3.00,1.00
65,Mindtree,2426.95,0.81,1218145,2426.65,2427.30,7.00,5.00
66,MphasiS,1938.20,-1.37,251155,1937.65,1937.90,14.00,6.00
67,MRF,81569.95,-1.07,19771,81510.85,81559.95,2.00,1.00
68,MRPL,51.40,0.39,1340595,51.40,51.50,8401.00,4420.00
69,NALCO,72.60,-2.09,17375814,72.60,72.65,3700.00,20403.00
70,Natco Pharma,1082.00,4.36,1180514,1083.10,1083.70,10.00,14.00
71,Nippon,376.25,-0.20,807226,376.05,376.25,76.00,30.00
72,Oberoi Realty,650.00,0.29,614673,649.60,650.00,14.00,289.00
73,Oil India,141.55,-1.08,365994,141.45,141.55,150.00,1253.00
74,Pfizer,5372.95,3.48,150628,5380.15,5381.00,103.00,11.00
75,PI Industries,2766.60,2.61,569849,2766.55,2766.80,3.00,24.00
76,PNB Housing Fin,850.30,-3.46,3761575,850.40,850.90,71.00,49.00
77,Polycab,1741.00,0.06,160572,1741.40,1742.70,1.00,21.00
78,Prestige Estate,292.80,1.63,290116,292.60,292.80,35.00,42.00
79,Quess Corp,755.95,4.95,456845,755.40,755.45,1.00,5.00
80,Rajesh Exports,564.50,-1.10,230349,563.65,564.05,1.00,71.00
81,Ramco Cements,992.90,0.45,236120,993.20,993.80,36.00,26.00
82,RBL Bank,217.65,0.42,8036515,217.60,217.65,11472.00,119.00
83,REC,155.45,1.14,6206086,155.35,155.40,4495.00,959.00
84,SAIL,121.40,-1.38,24332016,121.30,121.35,83556.00,1053.00
85,SRF,6990.00,4.53,283746,6989.15,6990.00,2.00,29.00
86,Sun TV Network,525.70,0.44,970817,525.75,526.00,82.00,991.00
87,Syngene Intl,591.75,0.93,222359,591.25,591.70,1.00,1.00
