,0,1,2,3,4,5,6,7
0,3M India,26110.45,-0.58,2347,0.00,0.00,0,0
1,Aarti Ind,1690.75,1.01,907497,1690.75,0.00,551,0
2,AAVAS Financier,2422.35,5.12,373401,2422.35,0.00,80,0
3,AB Capital,122.80,-1.05,2346775,122.80,0.00,889,0
4,ABB India,1650.50,-2.45,194307,0.00,1650.50,0,208
5,Abbott India,15940.40,-0.15,13351,0.00,15940.40,0,20
6,ACC,2009.90,-0.86,219638,0.00,2009.90,0,5
7,Adani Green Ene,1277.25,-0.75,842516,0.00,1277.25,0,193
8,Adani Ports,833.85,1.04,14457348,833.85,0.00,499,0
9,Adani Power,105.75,4.96,56499148,105.75,0.00,936203,0
10,Adani Total Gas,1637.50,1.06,1740082,0.00,1637.50,0,16813
11,Adani Trans,1602.05,1.53,923526,1602.05,0.00,4414,0
12,Aditya Birla F,204.00,3.47,8144434,0.00,204.00,0,7719
13,Advanced Enzyme,414.95,-0.25,204575,414.95,0.00,304,0
14,Aegis Logistics,366.85,-2.11,582886,0.00,366.85,0,5581
15,Affle India,5355.80,-0.41,49167,0.00,5355.80,0,429
16,AFL,145.00,-1.99,681930,0.00,145.00,0,447
17,AIA Engineering,1929.15,-1.02,13312,1929.15,0.00,1,0
18,Ajanta Pharma,1955.30,1.32,60167,1955.30,0.00,37,0
19,Akzo Nobel,2264.35,-0.22,8175,0.00,0.00,0,0
20,Alembic Pharma,949.50,-0.45,263851,0.00,0.00,0,0
21,Alkem Lab,3164.95,-0.42,98675,3164.95,0.00,8,0
22,Alkyl Amines,3592.80,0.01,51997,3592.80,0.00,274,0
23,Allcargo,134.60,0.60,304371,134.60,0.00,1299,0
24,Amara Raja Batt,758.60,0.77,2627489,758.60,0.00,170,0
25,Amber Enterpris,2770.85,-0.62,59227,0.00,2770.85,0,9
26,Ambuja Cements,332.05,-0.57,1739342,0.00,332.05,0,999
27,APL Apollo,1322.65,-0.88,787317,0.00,1322.65,0,5755
28,Apollo Hospital,3380.15,-1.33,380548,3380.15,0.00,218,0
29,Apollo Tyres,230.60,-0.13,4684948,0.00,230.60,0,1898
30,Asahi India,331.65,-3.20,247127,0.00,0.00,0,0
31,Ashok Leyland,128.40,3.26,17082101,128.40,0.00,119204,0
32,Ashoka Buildcon,93.00,-0.59,904346,93.00,0.00,66,0
