,date,recm,rec_price,trgt_price
0,"11 Apr, 2021",BUY,Reco Price 658.05,Target Price 2480
1,"08 Apr, 2021",BUY,Reco Price 642.65,Target Price 1030
2,"06 Apr, 2021",BUY,Reco Price 632.95,Target Price 4575
3,"24 Mar, 2021",BUY,Reco Price 652.40,Target Price 4530
4,"23 Mar, 2021",BUY,Reco Price 669.70,Target Price 104
5,"19 Mar, 2021",BUY,Reco Price 673.05,Target Price 640
