,date,recm,rec_price,trgt_price
0,"30 Mar, 2021",BUY,Reco Price 98.55,Target Price 120
1,"03 Feb, 2021",BUY,Reco Price 96.75,Target Price 125
2,"24 Dec, 2020",BUY,Reco Price 88.05,Target Price 105
