,date,recm,rec_price,trgt_price
0,"05 Feb, 2021",BUY,Reco Price 215.30,Target Price 296
1,"05 Feb, 2021",HOLD,Reco Price 215.30,Target Price 250
2,"05 Jan, 2021",BUY,Reco Price 222.30,Target Price 290
