,date,recm,rec_price,trgt_price
0,"29 Jan, 2021",BUY,Reco Price 1604.25,Target Price 1860
1,"28 Jan, 2021",BUY,Reco Price 1563.75,Target Price 1850
2,"28 Jan, 2021",HOLD,Reco Price 1563.75,Target Price 1651
3,"28 Jan, 2021",BUY,Reco Price 1563.75,Target Price 1810
4,"28 Jan, 2021",ACCUMULATE,Reco Price 1563.75,Target Price 1760
5,"18 Dec, 2020",HOLD,Reco Price 1599.45,Target Price 1570
