,date,recm,rec_price,trgt_price
0,"25 Mar, 2021",ACCUMULATE,Reco Price 616.20,Target Price 700
1,"18 Mar, 2021",HOLD,Reco Price 589.90,Target Price 640
2,"17 Mar, 2021",BUY,Reco Price 588.60,Target Price 660
3,"03 Feb, 2021",BUY,Reco Price 379.50,Target Price 500
4,"02 Feb, 2021",BUY,Reco Price 361.45,Target Price 435
