,date,recm,rec_price,trgt_price
0,"24 Feb, 2021",BUY,Reco Price 644.15,Target Price 753
1,"15 Feb, 2021",BUY,Reco Price 556.10,Target Price 640
2,"13 Feb, 2021",ACCUMULATE,Reco Price 522.45,Target Price 569
