,date,recm,rec_price,trgt_price
0,"01 Feb, 2021",BUY,Reco Price 805.55,Target Price 1020
1,"01 Feb, 2021",ACCUMULATE,Reco Price 805.55,Target Price 913
2,"31 Jan, 2021",SELL,Reco Price 825.60,Target Price 940
3,"30 Jan, 2021",NEUTRAL,Reco Price 825.60,Target Price 900
4,"30 Jan, 2021",BUY,Reco Price 825.60,Target Price 975
5,"29 Jan, 2021",BUY,Reco Price 825.60,Target Price 950
