,date,recm,rec_price,trgt_price
0,"25 Jan, 2021",HOLD,Reco Price 114.40,Target Price 130
1,"25 Jan, 2021",HOLD,Reco Price 114.40,Target Price 130
2,"23 Jan, 2021",BUY,Reco Price 115.80,Target Price 160
