,date,recm,rec_price,trgt_price
0,"12 Mar, 2021",BUY,Reco Price 508.90,Target Price 650
1,"12 Feb, 2021",HOLD,Reco Price 559.65,Target Price 595
2,"11 Feb, 2021",ACCUMULATE,Reco Price 569.10,Target Price 631
3,"10 Feb, 2021",BUY,Reco Price 556.75,Target Price 650
4,"01 Jan, 2021",BUY,Reco Price 507.25,Target Price 585
