,date,recm,rec_price,trgt_price
0,"25 Feb, 2021",BUY,Reco Price 889.15,Target Price 1100
1,"25 Feb, 2021",ACCUMULATE,Reco Price 889.15,Target Price 995
2,"10 Feb, 2021",BUY,Reco Price 776.75,Target Price 1000
3,"25 Jan, 2021",BUY,Reco Price 695.75,Target Price 830
4,"30 Dec, 2020",ACCUMULATE,Reco Price 684.45,Target Price 784
