,date,recm,rec_price,trgt_price
0,"01 Mar, 2021",BUY,Reco Price 1092.55,Target Price 1330
1,"25 Jan, 2021",BUY,Reco Price 942.00,Target Price 1180
2,"16 Dec, 2020",BUY,Reco Price 790.75,Target Price 915
