,date,recm,rec_price,trgt_price
0,"04 Mar, 2021",BUY,Reco Price 434.15,Target Price 525
1,"03 Feb, 2021",BUY,Reco Price 357.20,Target Price 460
2,"03 Feb, 2021",BUY,Reco Price 357.20,Target Price 453
3,"03 Feb, 2021",BUY,Reco Price 357.20,Target Price 470
4,"02 Feb, 2021",BUY,Reco Price 350.40,Target Price 446
5,"02 Feb, 2021",BUY,Reco Price 350.40,Target Price 410
