,date,recm,rec_price,trgt_price
0,"19 Mar, 2021",BUY,Reco Price 219.25,Target Price 1750
1,"02 Feb, 2021",BUY,Reco Price 138.65,Target Price 1591
2,"19 Jan, 2021",BUY,Reco Price 140.15,Target Price 1750
3,"19 Jan, 2021",BUY,Reco Price 140.15,Target Price 1750
4,"24 Dec, 2020",BUY,Reco Price 140.85,Target Price 1710
