,date,recm,rec_price,trgt_price
0,"01 May, 2021",BUY,Reco Price 2038.55,Target Price 2385
1,"24 Mar, 2021",BUY,Reco Price 1894.45,Target Price 2200
2,"01 Feb, 2021",BUY,Reco Price 1546.80,Target Price 1900
3,"01 Feb, 2021",BUY,Reco Price 1546.80,Target Price 1727
4,"30 Jan, 2021",BUY,Reco Price 1526.35,Target Price 1800
5,"30 Jan, 2021",BUY,Reco Price 1526.35,Target Price 1850
