,date,recm,rec_price,trgt_price
0,"28 Jan, 2021",BUY,Reco Price 215.00,Target Price 240
1,"28 Jan, 2021",BUY,Reco Price 215.00,Target Price 270
2,"17 Dec, 2020",BUY,Reco Price 236.75,Target Price 295
