,date,recm,rec_price,trgt_price
0,"27 Feb, 2021",ACCUMULATE,Reco Price 16097.70,"Target Price 17,364"
1,"26 Feb, 2021",BUY,Reco Price 16097.70,"Target Price 19,055"
2,"19 Feb, 2021",BUY,Reco Price 16386.10,"Target Price 18,490"
3,"16 Feb, 2021",ACCUMULATE,Reco Price 17222.45,"Target Price 17,667"
4,"16 Feb, 2021",BUY,Reco Price 17222.45,Target Price 19055
5,"16 Feb, 2021",HOLD,Reco Price 17222.45,"Target Price 16,200"
