,date,transc,name,qty,price,traded_pc
0,"19 Aug, 2020",Purchase,DURO INDIA OPPORTUNITIES FUND PTE. LTD.,Qty 322336,Price 562.75,% Traded 0.03
1,"19 Aug, 2020",Sell,DURO ONE INVESTMENTS LIMITED,Qty 322336,Price 562.75,% Traded 0.03
2,"28 Mar, 2017",Purchase,U K PAINTS INDIA PVT LTD,Qty 6500000,Price 232,% Traded 0.67
3,"28 Mar, 2017",Purchase,U K PAINTS INDIA PVT LTD,Qty 6500000,Price 232,% Traded 0.67
4,"28 Mar, 2017",Sell,GBS DHINGRA FAMILY TRUST,Qty 6500000,Price 232,% Traded 0.67
5,"28 Mar, 2017",Sell,KSD FAMILY TRUST,Qty 6500000,Price 232,% Traded 0.67
6,"29 Dec, 2016",Purchase,U K PAINTS INDIA PVT LTD,Qty 1000000,Price 208,% Traded 0.10
7,"29 Dec, 2016",Sell,KULDIP SINGH DHINGRA,Qty 500000,Price 208,% Traded 0.05
