,title,price,area,bhk,descrp
0,3 BHK Independent Builder Floor in Uttam Nagar,"₹ 30  - 38 Lac₹ 4,000/sq.ft.",750-950 sq.ft. (70-88 sq.m.) Super built-up Area,3 BHK3 Baths,"Partap builder floors in uttam nagar, delhi west by partap builders is a residential project. The project offers floor and apartment with perfect combination of contemporary architecture and features to provide comfortable living. The floor and apartment are of the following configurations: 2bhk and 3bhk The size of the apartment is 88.26 sq. Mt. The size of the floor is from 41.81 sq. Mt to 88..."
1,3 BHK Residential Apartment in Uttam Nagar,"₹ 45 Lac₹ 4,736/sq.ft.",950 sq.ft. (88 sq.m.) Super built-up Area,3 BHK2 Baths,"Book your 3 BHK flat in Uttam Nagar, Delhi West with Partap Builder Floors. It has a super built-up area of 950.0 sq. ft. and is available at a price of Rs. 45 Lac.It is a ready to move property. Partap Builder Floors has features an array of facilities including a Car Parking. Lifts are available too."
2,2 BHK Residential Apartment in Mohan Garden,₹ 23 Lac,567 sq.ft. (53 sq.m.) Carpet Area,2 BHK2 Baths,"PS Homes is a ready to move project, offering a great 2 BHK flat in Mohan Garden, Delhi West. The unit has a carpet area of 567.0 sq. ft. and is available at a price of Rs. 23 Lac. PS Homes is well connected to the city areas and features a large number of amenities to fit your needs. It is equipped with highlights such as 24/7 Water Supply, Car Parking, etc. that make it one of the most sought..."
3,3 BHK Residential Apartment in Moti Nagar,"₹ 1.77  - 2.19 Cr₹ 12,500/sq.ft.","1,415-1,753 sq.ft. (131-163 sq.m.) Super built-up Area",3 BHK,"Own a 3 BHK apartment in DLF Capital Greens, Moti Nagar, Delhi West for a comfortable living. With a super built-up area of 1415.0 sq. ft. to 1753.0 sq. ft., these 3 BHK apartments are available at a price range of Rs. 1.77 Crore to Rs. 2.19 Crore. DLF Capital Greens is meticulously designed to bring you an awe-inspiring lifestyle and convenience. It hosts a series of facilities like a Club Hou..."
4,2 BHK Independent Builder Floor in Uttam Nagar,"₹ 20  - 24 Lac₹ 4,000/sq.ft.",500-600 sq.ft. (46-56 sq.m.) Super built-up Area,2 BHK,"Uttam nagar homes in uttam nagar, delhi west by partap builders is a residential project. The project offers floor with perfect combination of contemporary architecture and features to provide comfortable living. The floor are of the following configurations: 1bhk, 2bhk, 3bhk and 4bhk The size of the floor is from 33.44 sq. Mt to 116.13 sq. Mt Uttam nagar homes price ranges from 14.00 lacs to 7..."
5,5 Bedroom Independent House in Vishnu Garden,"₹ 1.8 Cr₹ 23,529/sq.ft.",765 sq.ft. (71 sq.m.) Plot Area,5 BHK3 Baths,"A dream house in the prime location of vishnu garden, delhi, with an aesthetic aura is available for the buyers and investors. This independent house villa enlightens you and your family with a royal and luxurious vibe and promises you a contented lifestyle. Property configuration This configuration of the property is as follows- 1. Plot area 85 square yards This house villa comprises of - 1. F..."
6,1 BHK Residential Apartment in Mohan Garden,₹ 15 Lac,446 sq.ft. (41 sq.m.) Carpet Area,1 BHK1 Bath,"Live in a world of comfort and style at PS Homes located in Mohan Garden, Delhi West. Book your 1 BHK apartment now. Sprawling across a carpet area of 446.0 sq. ft, it is a ready to move property available for Rs. 15 Lac.All the towers have aesthetically crafted interiors as well as exteriors. The project has the latest amenities like 24/7 Water Supply, Car Parking, etc."
7,2 BHK Residential Apartment in Moti Nagar,"₹ 1.35  - 1.84 Cr₹ 13,000/sq.ft.","1,040-1,418 sq.ft. (97-132 sq.m.) Super built-up Area",2 BHK2 Baths,"Make DLF Capital Greens your next home. This project offers 2 BHK flats in Moti Nagar, Delhi West. With a super built-up area ranging from 1040.0 sq. ft. to 1418.0 sq. ft., these flats combine the finest design and amenities in Delhi West to provide a living experience unlike any other. It is a ready to move project and is unique in its perfect harmony of classic form and modern construction. T..."
8,2 BHK Residential Apartment in Paschim Vihar,"₹ 1.15 Cr₹ 9,584/sq.ft.","1,200 sq.ft. (111 sq.m.) Carpet Area",2 BHK2 Baths,"Residential apartment for sale in gh 13, paschim vihar, delhi. This property promises a contented and comfortable lifestyle to the residents. This residential apartment is up for sale in the prime location of gh 13, paschim vihar, delhi and comes with some elegant features. Property configuration- Artistic design with a modern style are the unique features of this property. The property is stre..."
9,2 BHK Residential Apartment in Moti Nagar,"₹ 1.7 Cr₹ 11,989/sq.ft.","1,418 sq.ft. (132 sq.m.) Super built-up Area",2 BHK2 Baths,"Live in a world of comfort and style at DLF Capital Greens located in Moti Nagar, Delhi West. Book your 2 BHK apartment now. Sprawling across a super built-up area of 1418.0 sq. ft, it is a ready to move property available for Rs. 1.7 Crore. The project has 23 towers, each of them with aesthetically crafted interiors as well as exteriors The project has the latest Fire Fighting Systems, an excl..."
