,title,price,area,bhk,descrp
10,2 BHK Independent Builder Floor in Dwarka Mor,"₹ 22  - 47.14 Lac₹ 5,238/sq.ft.",420-900 sq.ft. (39-84 sq.m.) Super built-up Area,2 BHK2 Baths,"Saarthi apartments in dwarka mor, delhi west by saarthi builders is a residential project. The project offers floor with perfect combination of contemporary architecture and features to provide comfortable living. The floor are of the following configurations: 2bhk and 3bhk The size of the floor is from 41.81 sq. Mt to 104.52 sq. Mt Housing india builder floors offers facilities such as lift. I..."
11,2 BHK Residential Apartment in Uttam Nagar,₹ 22  - 30.85 Lac,420-589 sq.ft. (39-55 sq.m.) Carpet Area,2 BHK2 Baths,"Saarthi Builder Floors is a ready to move project, offering 2 BHK flats in Uttam Nagar, Delhi West. These flats have a carpet area in the range of 420.0 sq. ft. to 589.0 sq. ft. and are available at an economical price of Rs. 22 Lac - Rs. 30.85 Lac. It is well connected to the city areas and features a large number of amenities to fit your needs. It is equipped with highlights such as Fire Figh..."
12,2 BHK Residential Apartment in Paschim Vihar,"₹ 1.15 Cr₹ 9,584/sq.ft.","1,200 sq.ft. (111 sq.m.) Carpet Area",2 BHK2 Baths,"Residential apartment for sale in gh 13, paschim vihar, delhi. This property promises a contented and comfortable lifestyle to the residents. This residential apartment is up for sale in the prime location of gh 13, paschim vihar, delhi and comes with some elegant features. Property configuration- Artistic design with a modern style are the unique features of this property. The property is stre..."
13,1 BHK Residential Apartment in Mohan Garden,₹ 15 Lac,446 sq.ft. (41 sq.m.) Carpet Area,1 BHK1 Bath,"Live in a world of comfort and style at PS Homes located in Mohan Garden, Delhi West. Book your 1 BHK apartment now. Sprawling across a carpet area of 446.0 sq. ft, it is a ready to move property available for Rs. 15 Lac.All the towers have aesthetically crafted interiors as well as exteriors. The project has the latest amenities like 24/7 Water Supply, Car Parking, etc."
14,2 BHK Residential Apartment in Moti Nagar,"₹ 1.7 Cr₹ 11,989/sq.ft.","1,418 sq.ft. (132 sq.m.) Super built-up Area",2 BHK2 Baths,"Live in a world of comfort and style at DLF Capital Greens located in Moti Nagar, Delhi West. Book your 2 BHK apartment now. Sprawling across a super built-up area of 1418.0 sq. ft, it is a ready to move property available for Rs. 1.7 Crore. The project has 23 towers, each of them with aesthetically crafted interiors as well as exteriors The project has the latest Fire Fighting Systems, an excl..."
15,4 BHK Residential Apartment in Moti Nagar,"₹ 3  - 4.21 Cr₹ 12,029/sq.ft.","2,494-3,500 sq.ft. (232-325 sq.m.) Super built-up Area",4 BHK,"Enjoy a blissful living experience in DLF Capital Greens. This residential project encompasses 4 BHK flats in Moti Nagar, Delhi West and brings you the best of both the worlds – excellent aesthetics and exemplary lifestyle. Its unique highlights include facilities like Car Parking, Rain Water Harvesting, Gymnasium, Card Room, Gated Community and many others. All of these and the other features ..."
16,2 BHK Residential Apartment in Shyam Vihar - II,"₹ 21 Lac₹ 2,745/sq.ft.",765 sq.ft. (71 sq.m.) Super built-up Area,2 BHK2 Baths,"We are the proud owners of this 2 bhk apartment available in om sai apartments, shyam vihar - Ii shyam vihar najafgarh, delhi west. This unfurnished apartment, priced approximately at rs. 24706 per sq. Yards or rs. 21 lakhs. It will be ready for possession within 6 months. It is a resale and an under construction apartment. The unit is located on the 1st floor and has a super built-Up area of 8..."
17,4 BHK Independent Builder Floor in Vikas Puri,₹ 3  - 4.25 Cr,"2,240-3,580 sq.ft. (208-333 sq.m.) Carpet Area",4 BHK,"Built in vikas puri, delhi, home hunt luxurious floors is a residential development. The project is sufficed with all modern amenities and covers 
2bhk,3bhk and 4bhk floors. Being close to all necessities, it has good connectivity to the rest of the city."
18,3 BHK Independent Builder Floor in Vikas Puri,₹ 1.05  - 2.6 Cr,"1,105-2,230 sq.ft. (103-207 sq.m.) Carpet Area",3 BHK,"Built in vikas puri, delhi, home hunt luxurious floors is a residential development. The project is sufficed with all modern amenities and covers 
2bhk,3bhk and 4bhk floors. Being close to all necessities, it has good connectivity to the rest of the city."
19,2 BHK Independent Builder Floor in Vikas Puri,₹ 85 Lac - 1 Cr,736-750 sq.ft. (68-70 sq.m.) Carpet Area,2 BHK,"Built in vikas puri, delhi, home hunt luxurious floors is a residential development. The project is sufficed with all modern amenities and covers 
2bhk,3bhk and 4bhk floors. Being close to all necessities, it has good connectivity to the rest of the city."
20,3 BHK Residential Apartment in Moti Nagar,"₹ 1.55  - 2.02 Cr₹ 11,374/sq.ft.","1,415-1,753 sq.ft. (131-163 sq.m.) Super built-up Area",3 BHK,"Make DLF Capital Greens your next home. This project offers 3 BHK flats in Moti Nagar, Delhi West. With a super built-up area ranging from 1415.0 sq. ft. to 1753.0 sq. ft., these flats combine the finest design and amenities in Delhi West to provide a living experience unlike any other. It is a ready to move project and is unique in its perfect harmony of classic form and modern construction. T..."
21,3 BHK Residential Apartment in Dwarka Mor,"₹ 32  - 36 Lac₹ 3,924/sq.ft.",830-930 sq.ft. (77-86 sq.m.) Super built-up Area,3 BHK3 Baths,"Enjoy a blissful living experience in VEDANTA by Mitya Homes. This residential project encompasses 3 BHK flats in Dwarka Mor, Delhi West and brings you the best of both the worlds – excellent aesthetics and exemplary lifestyle. Its unique highlights include facilities like Gated Community, Children's Play Area, Car Parking, Lift(s), 24/7 Water Supply and many others. All of these and the other ..."
22,2 BHK Residential Apartment in Vikaspuri Extension,"₹ 90 Lac₹ 9,500/sq.ft.","1,000 sq.ft. (93 sq.m.) Super built-up Area",2 BHK2 Baths,"Looking for an affordable apartment with best facilities? You are at the right place! A freehold, semi furnished residential apartment at vikaspuri extension, delhi west, with super built up area of 1000 sq. Ft. Is available for sale. It is located on the 2nd floor, which comprises of 2 big extended bedrooms, 2 bathrooms, 2 wardrobes, modular kitchen, pooja room, exhaust fan, 2 geysers, 3 ac, l..."
23,4 BHK Residential Apartment in Moti Nagar,"₹ 6.25 Cr₹ 19,142/sq.ft.","3,265 sq.ft. (303 sq.m.) Super built-up Area",4 BHK4 Baths,"Dlf capital greens was envisioned as a great expression of exclusive and higher living. Nestled in moti nagar west delhi, covered in a lush green surrounding; A turn away from the pollution & noises of the city. Designed by reputed architects, the project comprises of every luxury & convenience."
24,3 BHK Residential Apartment in Dwarka Mor,"₹ 35  - 48 Lac₹ 4,776/sq.ft.",770-950 sq.ft. (72-88 sq.m.) Super built-up Area,3 BHK3 Baths,"Atulyam by Mitya Homes is a ready to move project, offering 3 BHK flats in Dwarka Mor, Delhi West. These flats have a super built-up area in the range of 770.0 sq. ft. to 950.0 sq. ft. and are available at an economical price of Rs. 35 Lac - Rs. 48 Lac. It is well connected to the city areas and features a large number of amenities to fit your needs. It is equipped with highlights such as Fire ..."
