,0,1,2,3,4,5,6
0,Profit & Loss account of RBL Bank (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Interest / Discount on Advances / Bills,6523.70,6906.80,5049.83,3430.90,2639.40,
4,Income from Investments,1363.18,1372.69,1093.44,998.17,981.47,
5,Interest on Balance with RBI and Other Inter-Bank funds,291.93,191.42,111.24,70.15,85.49,
6,Others,35.73,43.47,46.20,8.35,6.80,
7,Total Interest Earned,8214.54,8514.38,6300.71,4507.57,3713.16,
8,Other Income,2057.84,1910.25,1442.37,1068.19,755.46,
9,Total Income,10272.38,10424.63,7743.08,5575.75,4468.62,
10,EXPENDITURE,,,,,,
11,Interest Expended,4426.98,4884.74,3761.23,2741.28,2491.82,
12,Payments to and Provisions for Employees,845.35,768.43,636.18,550.68,446.14,
13,Depreciation,0.00,138.30,121.91,86.96,61.50,
14,Operating Expenses (excludes Employee Cost & Depreciation),1909.23,1881.52,1283.93,865.78,548.74,
15,Total Operating Expenses,2754.58,2788.25,2042.02,1503.41,1056.39,
16,Provision Towards Income Tax,181.30,320.72,500.60,378.18,238.16,
17,Provision Towards Deferred Tax,0.00,-73.61,-68.40,-46.72,-2.72,
18,Other Provisions and Contingencies,2401.74,1998.85,640.68,364.52,238.92,
19,Total Provisions and Contingencies,2583.04,2245.96,1072.88,695.98,474.36,
20,Total Expenditure,9764.60,9918.95,6876.12,4940.67,4022.58,
21,Net Profit / Loss for The Year,507.78,505.67,866.95,635.09,446.05,
22,Net Profit / Loss After EI & Prior Year Items,507.78,505.67,866.95,635.09,446.05,
23,Profit / Loss Brought Forward,0.00,170.57,114.98,88.05,3.92,
24,Total Profit / Loss available for Appropriations,0.00,676.24,981.93,723.14,449.96,
25,APPROPRIATIONS,,,,,,
26,Transfer To / From Statutory Reserve,0.00,127.00,217.00,158.80,111.60,
27,Transfer To / From Capital Reserve,0.00,29.00,9.00,9.39,0.31,
28,Transfer To / From Revenue And Other Reserves,0.00,175.00,400.00,360.00,250.00,
29,Dividend and Dividend Tax for The Previous Year,0.00,0.00,0.00,0.00,0.00,
30,Equity Share Dividend,0.00,191.79,88.76,68.27,0.00,
31,Tax On Dividend,0.00,39.42,18.24,13.90,0.00,
32,Balance Carried Over To Balance Sheet,0.00,54.53,170.57,114.98,88.05,
33,Total Appropriations,0.00,676.24,981.93,723.14,449.96,
34,OTHER INFORMATION,,,,,,
35,EARNINGS PER SHARE,,,,,,
36,Basic EPS (Rs.),9.35,11.16,20.47,15.79,12.59,
37,Diluted EPS (Rs.),9.28,11.10,20.04,15.18,11.80,
38,DIVIDEND PERCENTAGE,,,,,,
39,Equity Dividend Rate (%),0.00,15.00,27.00,21.00,18.00,
