,date,transc,name,qty,price,traded_pc
0,"20 Aug, 2019",Purchase,SOCIETE GENERALE,Qty 1282780,Price 780,% Traded 1.30
1,"20 Aug, 2019",Purchase,TT ASIA-PACIFIC EQUITY FUND,Qty 685000,Price 780,% Traded 0.69
2,"20 Aug, 2019",Purchase,BIRLA MUTUAL FUND,Qty 685000,Price 780,% Traded 0.69
3,"20 Aug, 2019",Purchase,GOLDMAN SACHS (SINGAPORE) PTE,Qty 685000,Price 780,% Traded 0.69
4,"20 Aug, 2019",Purchase,HDFC MUTUAL FUND,Qty 685000,Price 780,% Traded 0.69
5,"20 Aug, 2019",Purchase,HSBC GLOBAL A/C HSBC GLOBAL INVESTMENT FUNDS BRIC FREESTYLE,Qty 685000,Price 780,% Traded 0.69
6,"20 Aug, 2019",Purchase,RELIANCE MUTUAL FUND,Qty 685000,Price 780,% Traded 0.69
7,"20 Aug, 2019",Purchase,SBI LIFE INSURANCE COMPANY LIMITED,Qty 685000,Price 780,% Traded 0.69
