,date,transc,name,qty,price,traded_pc
0,"29 Mar, 2017",Purchase,TORRENT PRIVATE LIMITED,Qty 8858864,Price 1440,% Traded 5.23
1,"29 Mar, 2017",Sell,MEHTA SAPNA SAMIR,Qty 8858864,Price 1440,% Traded 5.23
2,"28 Mar, 2017",Purchase,TORRENT PRIVATE LIMITED,Qty 6283860,Price 1401,% Traded 3.71
3,"28 Mar, 2017",Purchase,TORRENT PRIVATE LIMITED,Qty 6120168,Price 1401,% Traded 3.62
4,"28 Mar, 2017",Purchase,TORRENT PRIVATE LIMITED,Qty 5885276,Price 1401,% Traded 3.48
5,"28 Mar, 2017",Purchase,TORRENT PRIVATE LIMITED,Qty 2079900,Price 1401,% Traded 1.23
6,"28 Mar, 2017",Purchase,TORRENT PRIVATE LIMITED,Qty 1752900,Price 1401,% Traded 1.04
7,"28 Mar, 2017",Purchase,TORRENT PRIVATE LIMITED,Qty 1749900,Price 1401,% Traded 1.03
