,date,transc,name,qty,price,traded_pc
0,"13 Nov, 2020",Purchase,CHANDRAMOGAN SATHYAN,Qty 452800,Price 825,% Traded 0.21
1,"13 Nov, 2020",Sell,SANKARANARAYANAN DHANUSHKODI,Qty 242800,Price 825,% Traded 0.11
2,"13 Nov, 2020",Sell,SATYANARAYANAN DHANUSHKODI,Qty 210000,Price 825,% Traded 0.10
3,"12 Nov, 2020",Purchase,CHANDRAMOGAN SATHYAN,Qty 172200,Price 825,% Traded 0.08
4,"12 Nov, 2020",Purchase,MALABAR SELECT FUND,Qty 140000,Price 825,% Traded 0.06
5,"12 Nov, 2020",Sell,VASANTHAMALLIKA D,Qty 172200,Price 825,% Traded 0.08
6,"12 Nov, 2020",Sell,ARAVANDY JEGAMOHAN,Qty 140000,Price 825,% Traded 0.06
7,"17 Aug, 2018",Purchase,CHANDRAMOGAN R G,Qty 1000000,Price 719.99,% Traded 0.46
