,date,transc,name,qty,price,traded_pc
0,"28 Mar, 2017",Purchase,SHAH MAYANK JASHWANTLAL,Qty 489000,Price 287,% Traded 0.26
1,"28 Mar, 2017",Sell,M J SHAH FAMILY TRUST,Qty 489000,Price 287,% Traded 0.26
2,"27 Mar, 2012",Purchase,SUDARSHAN MANAGEMENT SERVICES PRIVATE LIMITED,Qty 575000,Price 154.5,% Traded 0.30
3,"27 Mar, 2012",Sell,GAGANDEEP CREDIT CAPITAL PRIVATE LIMITED,Qty 575000,Price 154.5,% Traded 0.30
