,date,transc,name,qty,price,traded_pc
0,"03 Mar, 2021",Purchase,NIDHIVAN INVESTMENTS AND TRADING COMPANYPRIVATE LIMITED,Qty 124300,Price 1186.3,% Traded 0.18
1,"03 Mar, 2021",Purchase,SAHARA INVESTMENTS PRIVATE LIMITED,Qty 121700,Price 1186.3,% Traded 0.17
2,"03 Mar, 2021",Purchase,HEERA HOLDINGS AND LEASING PRIVATE LIMITED,Qty 115750,Price 1186.3,% Traded 0.17
3,"03 Mar, 2021",Sell,NOWROSJEE WADIA AND SONS LTD,Qty 124300,Price 1186.3,% Traded 0.18
4,"03 Mar, 2021",Sell,NOWROSJEE WADIA AND SONS LTD,Qty 121700,Price 1186.3,% Traded 0.17
5,"03 Mar, 2021",Sell,NOWROSJEE WADIA AND SONS LTD,Qty 115750,Price 1186.3,% Traded 0.17
6,"22 Jan, 2021",Purchase,NOWROSJEE WADIA AND SONS LTD,Qty 333000,Price 1266.5,% Traded 0.48
7,"22 Jan, 2021",Sell,THE BOMBAY DYEING AND MANUFACTURING COMPANY LTD,Qty 333000,Price 1266.5,% Traded 0.48
