,date,transc,name,qty,price,traded_pc
0,"06 Jul, 2020",Purchase,JP MORGAN FUNDS,Qty 3034518,Price 77.85,% Traded 0.63
1,"06 Jul, 2020",Sell,FLAGSHIP INDIAN INVESTMENT COMPANY (MAURITIUS) LIMITED,Qty 3034518,Price 77.85,% Traded 0.63
2,"26 Aug, 2015",Purchase,KOTAK MAHINDRA (INTERNATIONAL) LIMITED,Qty 4050000,Price 188,% Traded 0.84
3,"26 Aug, 2015",Sell,CREDIT SUISSE (SINGAPORE) LIMITED A/C CREDIT SUISSE (SINGAP,Qty 4050000,Price 188,% Traded 0.84
4,"24 Aug, 2015",Purchase,KOTAK MAHINDRA (INTERNATIONAL) LIMITED,Qty 7100000,Price 173,% Traded 1.47
5,"24 Aug, 2015",Sell,CREDIT SUISSE (SINGAPORE) LIMITED A/C CREDIT SUISSE (SINGAP,Qty 7100000,Price 173,% Traded 1.47
6,"17 Aug, 2015",Purchase,KOTAK MAHINDRA (INTERNATIONAL) LIMITED,Qty 6500000,Price 197,% Traded 1.34
7,"17 Aug, 2015",Sell,CREDIT SUISSE (SINGAPORE) LIMITED A/C CREDIT SUISSE (SINGAP,Qty 6500000,Price 197,% Traded 1.34
