,date,transc,name,qty,price,traded_pc
0,"28 Mar, 2017",Purchase,M J SHAH FAMILY TRUST,Qty 54949,Price 1212,% Traded 0.27
1,"28 Mar, 2017",Sell,SHAH MAYANK JASHWANTLAL,Qty 54949,Price 1212,% Traded 0.27
