,date,transc,name,qty,price,traded_pc
0,"28 Mar, 2017",Purchase,IVORY CONSULTANTS PVT LTD,Qty 3650000,Price 18.6,% Traded 0.04
1,"28 Mar, 2017",Sell,FOREVER MERCHANTS PRIVATE LIMITED,Qty 3650000,Price 18.6,% Traded 0.04
