,date,transc,name,qty,price,traded_pc
0,"27 Mar, 2018",Purchase,INSTANT HOLDINGS LIMITED,Qty 224000,Price 884.2,% Traded 0.10
1,"27 Mar, 2018",Sell,CRYSTAL INDIA TECH TRUST,Qty 224000,Price 884.2,% Traded 0.10
