,0,1,2,3,4,5,6,7
0,3M India,26249.85,1.22,128,25800.00,26400.00,18.00,2.00
1,Aarti Drugs,757.95,-0.45,54465,758.00,757.95,64.00,20.00
2,Aarti Ind,1673.60,0.18,44790,1673.60,1678.00,28.00,1354.00
3,AAVAS Financier,2307.30,0.05,3550,2280.00,2307.15,1.00,13.00
4,AB Capital,124.20,1.22,263015,123.75,124.20,30.00,1388.00
5,ABB India,1688.75,-0.78,18055,1688.75,1688.75,1.00,7.00
6,ABB Power Produ,1899.45,-0.85,2440,1892.00,1895.00,13.00,3.00
7,Abbott India,15970.00,-0.13,9913,15931.00,16010.00,3.00,2.00
8,ACC,2027.25,1.51,13132,2019.00,2027.25,5.00,255.00
9,Adani Enterpris,1583.55,2.38,1305346,1585.00,1592.00,1019.00,114.00
10,Adani Green Ene,1287.10,-0.98,107157,1287.10,1287.10,1.00,1.00
11,Adani Ports,825.40,1.70,1490283,824.40,825.40,1.00,915.00
12,Adani Power,100.80,4.51,7854264,101.20,0.00,30836.00,0.00
13,Adani Total Gas,1622.70,2.84,197650,1636.05,1638.00,32.00,31.00
14,Adani Trans,1579.70,1.41,67088,1584.55,1590.05,107.00,1.00
15,Aditya Birla F,196.65,-1.11,142032,196.15,196.80,25.00,200.00
16,Advanced Enzyme,416.20,0.33,51582,416.85,417.50,490.00,87.00
17,Aegis Logistics,374.25,-0.15,106710,372.70,374.25,125.00,66.00
18,Affle India,5374.55,2.07,5536,5374.55,5402.80,12.00,19.00
19,AIA Engineering,1948.45,0.64,2806,1941.00,1951.00,3.00,9.00
20,Ajanta Pharma,1938.00,-1.02,3017,1928.00,1968.00,55.00,50.00
21,Akzo Nobel,2265.00,-0.71,531,2265.00,2289.90,5.00,1.00
22,Alembic Pharma,952.95,0.07,24859,954.00,957.65,22.00,4.00
23,Alkem Lab,3176.65,0.69,15492,3176.65,3203.00,14.00,2.00
24,Alkyl Amines,3591.85,0.27,3545,3591.85,3597.00,2.00,7.00
25,Allcargo,133.70,0.87,19818,133.70,135.00,500.00,755.00
26,Alok Industries,20.80,1.71,1101008,20.80,20.80,716.00,1793.00
27,Amara Raja Batt,752.65,1.50,249006,752.65,752.65,16.00,55.00
28,Amber Enterpris,2787.30,0.98,13735,2785.00,2787.00,5.00,1.00
29,Ambuja Cements,333.45,0.76,130083,333.00,333.45,318.00,2989.00
30,APL Apollo,1332.55,4.76,274277,1332.55,1332.55,9.00,41.00
31,Apollo Hospital,3426.35,4.69,34478,3385.00,3426.35,250.00,101.00
32,Apollo Tyres,230.90,0.35,452400,230.20,230.50,257.00,567.00
33,Ashok Leyland,124.35,0.16,1523494,124.35,124.30,3.00,215.00
34,Ashoka Buildcon,93.50,0.38,147646,93.35,93.40,500.00,106.00
35,Asian Paints,2934.90,1.02,47709,2934.90,2936.00,14.00,10.00
36,Aster DM Health,146.50,0.79,20019,146.20,146.50,75.00,99.00
37,Astral Ltd,1891.35,0.16,16214,1877.00,1891.35,1.00,659.00
38,AstraZeneca,3766.20,-0.06,1521,3761.05,3765.40,1.00,1.00
39,Atul,8548.85,-0.59,950,8548.85,8548.85,9.00,1.00
40,AU Small Financ,1006.35,-0.26,38105,1007.00,1009.25,17.00,7.00
41,Aurobindo Pharm,967.75,0.15,50530,967.75,972.00,5.00,28.00
42,Avanti Feeds,606.45,-0.24,31233,605.00,606.45,10.00,98.00
43,Avenue Supermar,3192.50,4.14,39506,3192.50,3192.50,33.00,1.00
44,Axis Bank,750.45,1.82,446198,750.45,752.00,35.00,2243.00
45,Bajaj Auto,4273.00,-0.51,14104,4255.05,4295.00,1.00,5.00
46,Bajaj Consumer,286.55,-0.69,49018,286.00,286.75,2.00,189.00
47,Bajaj Electric,1068.05,0.08,13471,1068.45,1070.95,2.00,50.00
48,Bajaj Finance,5901.65,1.61,83458,5884.00,5901.65,1.00,80.00
49,Bajaj Finserv,11816.70,-0.02,7830,11791.05,11820.55,2.00,1.00
50,Bajaj Holdings,3526.75,0.65,858,3516.55,3535.00,1.00,5.00
51,Balkrishna Ind,2213.65,-0.60,10520,2212.05,2226.00,8.00,10.00
52,Balmer Lawrie,137.15,-0.18,39962,137.15,137.30,900.00,65.00
53,Balrampur Chini,312.90,3.32,116763,312.10,312.90,42.00,88.00
54,Bandhan Bank,317.75,2.01,211472,316.30,317.30,1.00,300.00
55,Bank of Baroda,81.85,0.80,3577784,81.85,81.85,12518.00,7672.00
56,Bank of India,80.20,2.43,1076465,80.20,80.20,108.00,106.00
57,Bank of Mah,25.70,0.19,2405155,25.60,25.75,2099.00,20.00
58,BASF,2512.00,0.58,5113,2511.00,2530.55,1.00,1.00
59,Bata India,1548.40,0.29,24052,1550.00,1553.00,3.00,48.00
60,Bayer CropScien,5297.35,-0.09,1907,5293.00,5296.00,1.00,2.00
61,BEML,1304.65,-0.18,35405,1304.65,1304.65,140.00,10.00
62,Berger Paints,800.00,0.74,75075,799.00,800.40,100.00,27.00
63,Bharat Dynamics,368.10,0.03,6472,368.10,368.10,150.00,78.00
64,Bharat Elec,151.20,0.57,821181,151.20,151.20,444.00,128.00
65,Bharat Forge,695.85,-0.27,164841,696.00,697.00,19.00,50.00
66,Bharti Airtel,532.10,0.47,735782,531.00,531.90,20.00,175.00
67,BHEL,72.30,0.14,1850142,72.30,72.30,2813.00,1083.00
68,Biocon,385.10,-0.77,204624,385.00,385.10,50.00,3.00
69,Birla Corp,1258.90,0.93,5784,1245.00,1265.00,14.00,1.00
70,Birlasoft,327.80,3.46,248043,327.80,327.80,2.00,119.00
71,Bliss GVS,111.15,3.88,62836,111.20,113.00,1.00,114.00
72,Blue Dart,6046.00,-0.38,974,6045.00,6115.00,12.00,9.00
73,Blue Star,837.50,2.32,12980,835.00,837.35,1.00,278.00
74,Bombay Burmah,1292.00,-0.25,2966,1290.00,1292.00,21.00,199.00
75,Bombay Dyeing,82.60,-0.12,706309,82.25,82.60,15.00,2202.00
76,Bosch,15580.00,1.83,2990,15539.00,15580.00,1.00,7.00
77,BPCL,473.95,-0.13,246675,473.95,473.80,128.00,150.00
78,Brigade Ent,269.80,1.20,42646,269.80,269.80,50.00,232.00
79,Britannia,3495.95,0.61,9592,3495.95,3495.95,24.00,10.00
80,Cadila Health,634.30,1.05,414007,633.00,634.00,21.00,1196.00
81,Can Fin Homes,541.00,-2.55,43513,542.40,543.50,50.00,200.00
82,Canara Bank,163.25,-0.37,1242002,162.55,163.00,30.00,1660.00
83,Caplin Labs,597.00,1.11,17390,598.10,598.10,199.00,1.00
84,Capri Global,512.15,-2.06,40309,510.00,520.00,3.00,1.00
85,Carborundum,586.45,0.17,10246,584.55,588.00,50.00,2.00
