,0,1,2,3,4,5,6,7
0,3M India,25502.05,-0.29,164,0.00,0.00,0.00,0.00
1,Aarti Drugs,736.40,1.27,29352,0.00,0.00,0.00,0.00
2,Aarti Ind,1711.75,2.41,93268,0.00,0.00,0.00,0.00
3,AAVAS Financier,2275.55,-1.47,5201,0.00,0.00,0.00,0.00
4,AB Capital,118.60,-2.10,376832,0.00,0.00,0.00,0.00
5,ABB India,1689.05,1.27,39050,0.00,0.00,0.00,0.00
6,ABB Power Produ,1929.90,-0.98,1434,0.00,0.00,0.00,0.00
7,Abbott India,15941.00,-0.43,8015,0.00,0.00,0.00,0.00
8,ACC,1974.55,-0.57,13783,0.00,0.00,0.00,0.00
9,Adani Enterpris,1415.25,7.56,467146,0.00,0.00,0.00,0.00
10,Adani Green Ene,1271.95,0.37,52357,0.00,0.00,0.00,0.00
11,Adani Ports,798.15,3.70,1178264,0.00,0.00,0.00,0.00
12,Adani Power,95.40,3.14,2536872,0.00,0.00,0.00,0.00
13,Adani Total Gas,1440.55,6.79,315370,0.00,0.00,0.00,0.00
14,Adani Trans,1500.40,1.75,99488,0.00,0.00,0.00,0.00
15,Aditya Birla F,197.60,1.26,244523,0.00,0.00,0.00,0.00
16,Advanced Enzyme,413.05,-2.99,54179,0.00,0.00,0.00,0.00
17,Aegis Logistics,356.20,-0.46,37233,0.00,0.00,0.00,0.00
18,Affle India,5280.00,-0.43,2608,0.00,0.00,0.00,0.00
19,AIA Engineering,1905.25,-1.65,1011,0.00,0.00,0.00,0.00
20,Ajanta Pharma,1937.60,0.04,6389,0.00,0.00,0.00,0.00
21,Akzo Nobel,2279.80,0.47,580,0.00,0.00,0.00,0.00
22,Alembic Pharma,944.40,-0.84,10716,0.00,0.00,0.00,0.00
23,Alkem Lab,3106.35,4.43,22752,0.00,0.00,0.00,0.00
24,Alkyl Amines,3599.40,-1.76,7499,0.00,0.00,0.00,0.00
25,Allcargo,133.90,-1.47,67247,0.00,0.00,0.00,0.00
26,Alok Industries,20.40,-1.21,912146,0.00,0.00,0.00,0.00
27,Amara Raja Batt,739.40,-0.31,158544,0.00,0.00,0.00,0.00
28,Amber Enterpris,2715.50,-0.48,12001,0.00,0.00,0.00,0.00
29,Ambuja Cements,324.20,-0.51,609200,0.00,0.00,0.00,0.00
30,APL Apollo,1297.80,-0.08,4519,0.00,0.00,0.00,0.00
31,Apollo Hospital,3240.00,2.21,53883,0.00,0.00,0.00,0.00
32,Apollo Tyres,221.85,-0.09,223413,0.00,0.00,0.00,0.00
33,Ashok Leyland,121.60,-1.50,656786,0.00,0.00,0.00,0.00
34,Ashoka Buildcon,92.10,-1.97,57014,0.00,0.00,0.00,0.00
35,Asian Paints,2933.15,-1.51,110861,0.00,0.00,0.00,0.00
36,Aster DM Health,144.05,-1.77,32281,0.00,0.00,0.00,0.00
37,Astral Ltd,1858.00,-0.94,40894,0.00,0.00,0.00,0.00
38,AstraZeneca,3759.40,-0.40,2123,0.00,0.00,0.00,0.00
39,Atul,8568.40,-0.31,977,0.00,0.00,0.00,0.00
40,AU Small Financ,989.00,0.28,29862,0.00,0.00,0.00,0.00
41,Aurobindo Pharm,970.40,-2.74,316839,0.00,0.00,0.00,0.00
42,Avanti Feeds,603.90,1.27,134522,0.00,0.00,0.00,0.00
43,Avenue Supermar,3045.45,-0.81,26384,0.00,0.00,0.00,0.00
44,Axis Bank,745.10,-0.69,186509,0.00,0.00,0.00,0.00
45,Bajaj Auto,4239.20,0.97,44293,0.00,0.00,0.00,0.00
46,Bajaj Consumer,286.05,-0.75,37080,0.00,0.00,0.00,0.00
47,Bajaj Electric,1058.25,0.38,29623,0.00,0.00,0.00,0.00
48,Bajaj Finance,5786.10,2.93,114034,0.00,0.00,0.00,0.00
49,Bajaj Finserv,11832.25,0.30,12842,0.00,0.00,0.00,0.00
50,Bajaj Holdings,3503.45,-1.32,2590,0.00,0.00,0.00,0.00
51,Balkrishna Ind,2174.90,-0.71,22115,0.00,0.00,0.00,0.00
52,Balmer Lawrie,134.00,-1.87,33430,0.00,0.00,0.00,0.00
53,Balrampur Chini,304.05,0.00,92544,0.00,0.00,0.00,0.00
54,Bandhan Bank,302.80,-1.48,215504,0.00,0.00,0.00,0.00
55,Bank of Baroda,79.35,-1.67,3055480,0.00,0.00,0.00,0.00
56,Bank of India,76.15,-1.30,226113,0.00,0.00,0.00,0.00
57,Bank of Mah,23.70,-2.47,638221,0.00,0.00,0.00,0.00
58,BASF,2459.20,1.20,6638,0.00,0.00,0.00,0.00
59,Bata India,1540.65,-0.35,12602,0.00,0.00,0.00,0.00
60,Bayer CropScien,5275.00,-0.46,1560,0.00,0.00,0.00,0.00
61,BEML,1291.65,-0.87,30281,0.00,0.00,0.00,0.00
62,Berger Paints,798.05,-1.01,33788,0.00,0.00,0.00,0.00
63,Bharat Dynamics,369.45,2.35,26036,0.00,0.00,0.00,0.00
64,Bharat Elec,146.90,1.07,915202,0.00,0.00,0.00,0.00
65,Bharat Forge,666.75,-1.80,91308,0.00,0.00,0.00,0.00
66,Bharti Airtel,532.90,-0.38,501024,0.00,0.00,0.00,0.00
67,BHEL,71.10,0.07,5514401,0.00,0.00,0.00,0.00
68,Biocon,385.95,-0.36,53873,0.00,0.00,0.00,0.00
69,Birla Corp,1217.55,-3.01,11012,0.00,0.00,0.00,0.00
70,Birlasoft,311.25,-1.86,159054,0.00,0.00,0.00,0.00
71,Bliss GVS,106.90,-0.60,17922,0.00,0.00,0.00,0.00
72,Blue Dart,5988.40,-0.10,1815,0.00,0.00,0.00,0.00
73,Blue Star,816.55,-0.89,2151,0.00,0.00,0.00,0.00
74,Bombay Burmah,1299.50,0.38,7734,0.00,0.00,0.00,0.00
75,Bombay Dyeing,77.45,-2.82,454841,0.00,0.00,0.00,0.00
76,Bosch,15150.00,-0.73,1726,0.00,0.00,0.00,0.00
77,BPCL,470.85,-0.24,285234,0.00,0.00,0.00,0.00
78,Brigade Ent,260.00,0.29,9365,0.00,0.00,0.00,0.00
79,Britannia,3448.55,0.02,11475,0.00,0.00,0.00,0.00
80,Cadila Health,619.35,0.17,192180,0.00,0.00,0.00,0.00
81,Can Fin Homes,556.95,1.51,47889,0.00,0.00,0.00,0.00
82,Canara Bank,159.00,-1.09,873058,0.00,0.00,0.00,0.00
83,Caplin Labs,588.45,-1.26,9130,0.00,0.00,0.00,0.00
84,Capri Global,548.55,19.07,49461,0.00,0.00,0.00,0.00
85,Carborundum,589.30,-1.40,10988,0.00,0.00,0.00,0.00
86,CARE Ratings,573.70,-2.37,25082,0.00,0.00,0.00,0.00
87,Castrol,132.40,-1.38,93816,0.00,0.00,0.00,0.00
88,CCL Products,344.65,-1.71,42983,0.00,0.00,0.00,0.00
89,Ceat,1324.90,0.04,15840,0.00,0.00,0.00,0.00
90,Central Bank,18.60,-1.85,483244,0.00,0.00,0.00,0.00
91,Century,496.75,-1.75,68733,0.00,0.00,0.00,0.00
92,CenturyPlyboard,401.85,0.57,6794,0.00,0.00,0.00,0.00
93,Cera Sanitary,3946.40,-0.25,589,0.00,0.00,0.00,0.00
94,CESC,679.95,-0.48,17668,0.00,0.00,0.00,0.00
