,0,1,2,3,4,5,6,7
84,Capri Global,460.70,-0.26,75993,0.00,0.00,0.00,0.00
85,Carborundum,597.90,-0.35,8153,0.00,0.00,0.00,0.00
86,CARE Ratings,587.60,2.19,57701,0.00,0.00,0.00,0.00
87,Castrol,134.35,-0.26,101571,0.00,0.00,0.00,0.00
88,CCL Products,350.65,-3.85,81569,0.00,0.00,0.00,0.00
89,Ceat,1321.55,-0.07,15654,0.00,0.00,0.00,0.00
90,Central Bank,18.95,-1.81,1310469,0.00,0.00,0.00,0.00
91,Century,502.80,0.21,50831,0.00,0.00,0.00,0.00
92,CenturyPlyboard,397.85,-3.35,37873,0.00,0.00,0.00,0.00
93,Cera Sanitary,3991.00,-0.26,541,0.00,0.00,0.00,0.00
94,CESC,684.80,2.61,27439,0.00,0.00,0.00,0.00
95,CG Consumer,398.40,1.50,28768,0.00,0.00,0.00,0.00
96,Chalet Hotels,176.65,-0.87,60949,0.00,0.00,0.00,0.00
97,Chambal Fert,288.50,1.53,62046,0.00,0.00,0.00,0.00
98,Chennai Petro,132.00,-1.09,86803,0.00,0.00,0.00,0.00
99,Chola Fin Hold,637.00,-1.08,5916,0.00,0.00,0.00,0.00
100,Chola Invest.,550.45,1.29,133307,0.00,0.00,0.00,0.00
101,Cipla,949.15,1.57,247805,0.00,0.00,0.00,0.00
102,City Union Bank,172.25,-0.95,312145,0.00,0.00,0.00,0.00
103,Coal India,147.80,0.65,571194,0.00,0.00,0.00,0.00
104,Cochin Shipyard,374.90,0.12,10427,0.00,0.00,0.00,0.00
105,COFORGE LTD.,3527.20,-0.53,13520,0.00,0.00,0.00,0.00
106,Colgate,1720.50,0.54,20452,0.00,0.00,0.00,0.00
107,Container Corp,682.85,2.20,686962,0.00,0.00,0.00,0.00
108,Coromandel Int,802.50,-1.00,63603,0.00,0.00,0.00,0.00
109,CreditAccess Gr,627.45,-2.19,3515,0.00,0.00,0.00,0.00
110,CRISIL,1938.15,1.07,747,0.00,0.00,0.00,0.00
111,CSB Bank,309.80,0.46,24785,0.00,0.00,0.00,0.00
112,Cummins,785.05,-0.74,71770,0.00,0.00,0.00,0.00
113,Cyient,824.00,1.07,8874,0.00,0.00,0.00,0.00
114,Dabur India,540.40,1.88,240713,0.00,0.00,0.00,0.00
115,Dalmia Bharat,1757.30,-0.98,5175,0.00,0.00,0.00,0.00
116,DB Corp,96.30,1.37,30253,0.00,0.00,0.00,0.00
117,DCB Bank,104.95,0.82,106697,0.00,0.00,0.00,0.00
118,DCM Shriram,690.05,0.72,24128,0.00,0.00,0.00,0.00
119,Deepak Fert,296.20,-3.53,125402,0.00,0.00,0.00,0.00
120,Deepak Nitrite,1784.75,-0.58,64393,0.00,0.00,0.00,0.00
121,Delta Corp,170.00,-0.93,192699,0.00,0.00,0.00,0.00
122,Dhanuka Agritec,941.90,4.50,33792,0.00,0.00,0.00,0.00
123,Dilip Buildcon,538.75,-0.85,20739,0.00,0.00,0.00,0.00
124,Dish TV,14.72,-7.36,1934673,0.00,0.00,0.00,0.00
125,Dishman Carboge,205.25,-1.54,61574,0.00,0.00,0.00,0.00
126,Divis Labs,4193.60,1.87,106927,0.00,0.00,0.00,0.00
127,Dixon Technolog,4029.75,0.85,8800,0.00,0.00,0.00,0.00
128,DLF,288.20,0.63,1986064,0.00,0.00,0.00,0.00
129,Dr Lal PathLab,2956.10,5.39,52920,0.00,0.00,0.00,0.00
130,Dr Reddys Labs,5308.00,2.08,62114,0.00,0.00,0.00,0.00
131,eClerx Services,1257.65,1.35,3604,0.00,0.00,0.00,0.00
132,Edelweiss,65.35,0.85,86892,0.00,0.00,0.00,0.00
133,Eicher Motors,2676.55,1.14,36207,0.00,0.00,0.00,0.00
134,EID Parry,417.85,1.05,61176,0.00,0.00,0.00,0.00
135,EIH,109.50,-0.68,134005,0.00,0.00,0.00,0.00
136,Emami,501.20,-0.47,305327,0.00,0.00,0.00,0.00
137,Endurance Techn,1491.05,2.44,3858,0.00,0.00,0.00,0.00
138,EngineersInd,84.95,0.77,433437,0.00,0.00,0.00,0.00
139,EPL,228.00,0.37,17015,0.00,0.00,0.00,0.00
140,Equitas Holding,91.95,-0.43,232109,0.00,0.00,0.00,0.00
141,Eris Life,709.55,1.71,3929,0.00,0.00,0.00,0.00
142,Esab India,1837.90,1.77,1613,0.00,0.00,0.00,0.00
143,Escorts,1171.60,0.82,83705,0.00,0.00,0.00,0.00
144,Exide Ind,191.35,-0.31,384917,0.00,0.00,0.00,0.00
145,FDC,341.25,1.35,10383,0.00,0.00,0.00,0.00
146,Federal Bank,87.15,-1.97,985400,0.00,0.00,0.00,0.00
147,Fine Organics,2902.70,-3.07,13607,0.00,0.00,0.00,0.00
148,Finolex Cables,442.50,-2.25,18307,0.00,0.00,0.00,0.00
149,Finolex Ind,170.05,-0.93,140110,0.00,0.00,0.00,0.00
150,Firstsource Sol,142.40,0.78,176143,0.00,0.00,0.00,0.00
151,Force Motors,1192.00,-4.56,10094,0.00,0.00,0.00,0.00
152,Fortis Health,227.60,-1.19,286624,0.00,0.00,0.00,0.00
153,Future Consumer,7.55,9.90,12365449,0.00,0.00,0.00,0.00
154,Future Retail,47.70,4.95,250836,0.00,0.00,0.00,0.00
155,GAIL,159.90,4.72,2245554,0.00,0.00,0.00,0.00
156,Galaxy Surfacta,2942.00,-1.03,4192,0.00,0.00,0.00,0.00
157,Garden Reach Sh,179.65,-1.35,30202,0.00,0.00,0.00,0.00
158,Garware Technic,2881.95,0.50,2123,0.00,0.00,0.00,0.00
159,Gateway Distri,294.45,-2.58,25136,0.00,0.00,0.00,0.00
160,GE Power India,283.70,-2.09,22849,0.00,0.00,0.00,0.00
161,GE Shipping,411.20,-0.84,21102,0.00,0.00,0.00,0.00
162,General Insuran,196.60,2.00,108927,0.00,0.00,0.00,0.00
163,Gillette India,5592.50,-0.13,630,0.00,0.00,0.00,0.00
164,Gland,3153.55,-2.01,12244,0.00,0.00,0.00,0.00
165,GlaxoSmithKline,1515.75,-0.99,4218,0.00,0.00,0.00,0.00
166,Glenmark,592.60,-2.39,203806,0.00,0.00,0.00,0.00
167,GMM Pfaudler,4797.75,-4.72,14454,0.00,0.00,0.00,0.00
168,GMR Infra,26.05,-0.19,2389619,0.00,0.00,0.00,0.00
169,GNFC,375.40,-1.16,60665,0.00,0.00,0.00,0.00
170,Godfrey Phillip,897.30,-0.18,5719,0.00,0.00,0.00,0.00
171,Godrej Agrovet,551.40,-0.59,70839,0.00,0.00,0.00,0.00
172,Godrej Consumer,857.15,1.51,110062,0.00,0.00,0.00,0.00
173,Godrej Ind,524.20,-0.81,35080,0.00,0.00,0.00,0.00
174,Godrej Prop,1371.50,0.86,53195,0.00,0.00,0.00,0.00
175,Granules India,318.30,0.89,98032,0.00,0.00,0.00,0.00
176,Graphite India,745.60,0.13,76030,0.00,0.00,0.00,0.00
177,Grasim,1470.75,0.23,129412,0.00,0.00,0.00,0.00
178,Greaves Cotton,125.80,-0.94,59270,0.00,0.00,0.00,0.00
179,Grindwell Norto,1221.00,-1.64,4103,0.00,0.00,0.00,0.00
180,GSFC,112.75,-1.49,229397,0.00,0.00,0.00,0.00
181,Guj Alkali,402.20,-1.08,18522,0.00,0.00,0.00,0.00
182,Guj Heavy Chem,261.90,-0.81,69174,0.00,0.00,0.00,0.00
183,Guj Mineral,73.15,-2.01,194351,0.00,0.00,0.00,0.00
184,Guj State Petro,271.20,-2.64,67673,0.00,0.00,0.00,0.00
185,Gujarat Fluoro,833.70,1.73,416344,0.00,0.00,0.00,0.00
186,Gujarat Gas,536.35,4.95,278836,0.00,0.00,0.00,0.00
187,Gujarat Pipavav,107.90,1.70,72950,0.00,0.00,0.00,0.00
188,Gulf Oil Lubric,695.85,-2.17,10510,0.00,0.00,0.00,0.00
189,Hathway Cable,25.65,-0.19,246250,0.00,0.00,0.00,0.00
190,Havells India,1030.80,1.30,71305,0.00,0.00,0.00,0.00
191,Hawkins Cooker,5917.85,0.51,11815,0.00,0.00,0.00,0.00
192,HCL Tech,945.20,0.16,371707,0.00,0.00,0.00,0.00
