,0,1,2,3,4,5,6,7
82,Birla Corp,1218.80,-0.53,3585,1211.00,1250.00,7.00,50.00
83,Birlasoft,321.95,-1.39,172260,321.95,321.00,40.00,10.00
84,Black Rose Ind,178.10,-0.34,205823,178.10,178.10,170.00,342.00
85,Bliss GVS,108.15,-0.87,30183,108.05,109.00,50.00,200.00
86,BLS Internation,108.00,-0.60,21324,107.95,111.00,20.00,50.00
87,Blue Dart,6102.45,1.67,1395,6075.00,6113.95,1.00,2.00
88,Blue Star,827.80,-0.91,6894,825.00,827.80,14.00,436.00
89,Bodal Chemicals,103.05,-3.42,104381,103.05,105.50,1800.00,1.00
90,Bombay Burmah,1284.75,-4.03,29604,1284.75,1284.75,8.00,7.00
91,Bombay Dyeing,79.75,-2.03,966266,79.75,79.75,356.00,2.00
92,Borosil,273.05,-3.52,72704,273.90,274.00,124.00,158.00
93,Borosil Ltd.,226.40,-6.66,73002,226.40,228.00,126.00,50.00
94,Brigade Ent,268.25,0.92,5185,264.00,273.00,101.00,10.00
95,Brightcom Group,8.34,-0.83,680284,8.34,8.34,5150.00,150.00
96,Burger King,146.90,-3.39,242519,146.90,146.90,245.00,45.00
97,Butterfly,803.25,-5.21,26092,803.25,808.70,8.00,5.00
98,Camlin Fine,179.60,-3.23,72982,179.60,183.00,250.00,700.00
99,CAMS,2510.65,3.72,38898,2510.65,2510.65,34.00,16.00
100,Can Fin Homes,531.55,-2.94,16069,533.00,540.00,1.00,20.00
101,Cantabil Retail,381.55,0.65,15942,371.00,388.30,5.00,5.00
102,Capacite Infra,201.50,-2.07,36456,201.50,201.50,19.00,60.00
103,Caplin Labs,595.10,-0.90,10553,595.10,600.00,2.00,111.00
104,Capri Global,465.15,0.69,48386,458.00,464.90,10.00,25.00
105,Carborundum,600.00,-0.49,12858,595.00,601.00,2.00,15.00
106,CARE Ratings,575.00,0.99,13764,575.00,575.00,18.00,2.00
107,Career Point,131.20,-0.57,4786,130.15,130.50,200.00,149.00
108,CCL Products,364.70,2.44,131833,364.70,366.00,503.00,40.00
109,Ceat,1318.95,0.95,16156,1318.95,1320.00,5.00,169.00
110,Central Bank,19.30,0.00,962926,19.30,19.30,17564.00,21064.00
111,Centrum Capital,36.45,-1.09,87766,36.05,36.45,425.00,39.00
112,Century,501.75,-1.70,35106,501.75,501.75,125.00,244.00
113,Century Enka,327.80,8.80,70471,327.80,327.80,338.00,161.00
114,CenturyPlyboard,411.65,1.79,16489,408.00,411.65,17.00,8.00
115,Cera Sanitary,4001.40,0.32,591,3947.00,4001.40,5.00,2.00
116,Cerebra Int,52.40,-1.69,45766,52.35,52.40,1000.00,28.00
117,CESC,667.40,-0.27,12620,667.40,667.40,56.00,1.00
118,Chalet Hotels,178.20,1.77,32446,179.80,180.05,500.00,75.00
119,Chambal Fert,284.15,-4.70,93585,284.50,286.00,16.00,67.00
120,Chemcon Special,442.30,0.90,21364,442.30,444.65,301.00,50.00
121,Chennai Petro,133.45,-0.67,86614,133.65,135.00,100.00,550.00
122,Cheviot Company,1122.70,1.00,5096,1122.70,1126.50,20.00,5.00
123,Chola Fin Hold,643.95,-0.58,7806,638.30,643.95,1.00,1.00
124,Cigniti Tech,414.30,-0.60,3308,413.05,420.00,41.00,16.00
125,City Union Bank,173.90,0.09,54872,173.95,174.30,13.00,304.00
126,Clariant Chem,485.10,-1.14,6018,485.10,485.10,1.00,5.00
127,Coastal Corp,233.55,2.34,94264,233.00,233.55,60.00,745.00
128,Cochin Shipyard,379.55,-0.43,9359,379.55,379.55,632.00,15.00
129,COFORGE LTD.,3545.95,1.48,16835,3545.95,3560.00,66.00,11.00
130,ConfidencePetro,61.85,-3.36,160333,61.60,61.85,18.00,200.00
131,Coromandel Int,810.60,-1.21,69105,810.60,811.70,99.00,1.00
132,Cosmo Films,802.35,-0.51,5030,802.35,802.35,91.00,18.00
133,CreditAccess Gr,647.10,-1.72,10563,643.10,647.10,5.00,57.00
134,CSB Bank,312.50,-1.20,40377,312.90,319.40,1.00,200.00
135,Cupid,236.60,-0.69,6428,235.20,243.00,1.00,41.00
136,Cyient,815.30,-0.08,11854,815.30,815.65,1.00,10.00
137,D-Link India,112.95,-3.42,35670,113.05,112.95,6.00,1.00
138,Dalmia Bharat,1774.70,-2.59,7064,1774.70,1774.70,2.00,10.00
139,Dalmia Sugar,323.80,-1.82,13335,323.05,323.80,3.00,100.00
140,Datamatics Glob,145.65,-5.05,64312,145.65,145.65,229.00,861.00
141,DB Corp,95.15,-2.71,16476,94.50,95.15,25.00,2.00
142,DCB Bank,104.10,-0.76,111169,104.30,104.95,39.00,77.00
143,DCM Shriram,688.00,-1.47,31329,688.00,688.00,30.00,1.00
144,DCW,38.10,0.93,501245,38.10,38.20,90.00,755.00
145,Deepak Fert,307.05,5.66,268250,307.05,307.05,3.00,100.00
146,Deepak Nitrite,1795.10,1.71,61132,1795.10,1795.10,35.00,19.00
147,Delta Corp,171.60,-1.18,143058,171.40,171.60,5.00,160.00
148,Den Networks,50.85,4.31,1572733,50.85,51.00,9246.00,2485.00
149,DFM Foods,354.65,-3.34,4690,352.00,363.00,10.00,11.00
150,Dhampur Sugar,313.40,-2.67,25893,313.40,315.00,1.00,300.00
151,Dhanlaxmi Bank,15.09,-3.52,168246,15.15,15.27,1000.00,100.00
152,Dhanuka Agritec,905.35,5.34,74603,905.35,909.00,270.00,11.00
153,Diamines Chem,275.75,-1.97,22056,275.75,275.75,21.00,14.00
154,Dilip Buildcon,543.90,-3.04,24589,543.90,543.90,1.00,98.00
155,Dish TV,15.89,1.86,6354232,15.89,15.89,1.00,363.00
156,Dishman Carboge,208.45,-2.00,74125,206.35,208.45,25.00,2.00
157,Dixon Technolog,3995.70,0.06,58975,3990.10,3995.00,25.00,61.00
158,Dolat Investmen,69.00,-1.08,87576,69.00,69.75,425.00,10.00
159,Dollar Ind,343.30,1.78,142352,341.00,342.00,80.00,200.00
160,Dr Lal PathLab,2804.80,0.72,24632,2797.00,2804.80,10.00,34.00
161,Dredging Corp,392.35,-1.43,5449,390.30,401.00,1.00,82.00
162,Dwarikesh Sugar,51.80,-2.45,104108,51.45,51.65,10.00,4985.00
163,eClerx Services,1235.80,4.75,10402,1235.95,1239.95,20.00,1.00
164,Edelweiss,64.80,-1.89,107301,64.80,65.25,20.00,5.00
165,EID Parry,415.60,-1.46,15760,414.75,414.95,2.00,180.00
166,EIH,110.15,-2.61,96830,110.15,111.00,184.00,200.00
167,Electrosteel,32.30,-1.52,73555,32.30,32.50,748.00,26.00
168,EngineersInd,84.30,-2.49,291368,84.30,84.85,2181.00,500.00
169,EPL,227.40,-0.20,15694,227.40,228.15,300.00,29.00
170,Equitas Bank,61.20,-2.24,113234,61.20,61.10,171.00,179.00
171,Equitas Holding,92.40,0.00,179638,92.40,93.50,650.00,900.00
172,Eris Life,699.05,0.16,10737,691.00,700.00,25.00,45.00
173,Esab India,1805.85,-1.60,784,1805.85,1814.70,20.00,20.00
174,Escorts,1162.05,1.63,167656,1162.05,1162.75,22.00,133.00
175,Eveready Ind,310.40,-2.53,59391,309.00,310.40,7.00,101.00
176,Everest Ind,402.35,2.77,67576,401.55,402.35,250.00,4.00
177,Excel,1050.40,-3.78,8353,1050.00,1050.40,20.00,10.00
178,Fairchem Org.,906.60,-1.76,1292,905.00,906.60,6.00,5.00
179,FDC,334.20,1.61,28767,334.00,334.20,1.00,2.00
180,Fermenta Bio,333.75,0.01,82975,332.65,333.75,37.00,10.00
181,FIEM Ind,665.20,-4.46,22319,665.20,675.00,100.00,55.00
182,Filatex India,99.45,4.85,36163,99.45,99.65,551.00,93.00
183,Fine Organics,3005.15,-7.18,10949,3005.15,3052.00,92.00,2.00
184,Fineotex Chem,88.95,-0.28,114695,88.50,88.95,200.00,300.00
185,Finolex Cables,449.15,-2.43,64830,449.15,449.15,19.00,32.00
186,Finolex Ind,171.65,-1.01,102889,171.65,171.65,8.00,92.00
187,Firstsource Sol,141.30,0.18,231044,141.30,141.50,9.00,21.00
188,Force Motors,1249.00,-0.51,1639,1249.00,1254.00,76.00,10.00
189,Fortis Health,230.35,1.86,215801,230.35,232.95,1900.00,50.00
190,Future Consumer,6.87,0.00,570220,6.87,6.90,5107.00,14726.00
