,0,1,2,3,4,5,6,7
82,Canara Bank,163.80,0.31,976455,163.70,163.75,1294.00,945.00
83,Caplin Labs,602.45,0.74,11044,602.10,602.50,13.00,2.00
84,Capri Global,518.45,1.67,2471,519.25,520.00,17.00,50.00
85,Carborundum,592.20,1.15,10768,590.65,591.30,4.00,3.00
86,CARE Ratings,574.20,1.03,13906,575.30,575.90,2.00,1.00
87,Castrol,142.30,6.20,5499906,142.15,142.25,760.00,2541.00
88,CCL Products,368.00,-0.73,54528,368.20,368.45,65.00,27.00
89,CDSL,970.30,0.31,50479,969.50,970.00,45.00,134.00
90,Ceat,1336.25,-0.41,11652,1336.30,1337.60,31.00,19.00
91,Central Bank,21.00,1.93,2238457,21.10,21.15,3844.00,60740.00
92,Century,508.20,0.78,23054,508.50,508.90,533.00,105.00
93,CenturyPlyboard,407.80,-0.79,6329,407.75,408.00,25.00,67.00
94,Cera Sanitary,4060.30,0.14,162,4048.85,4056.95,2.00,1.00
95,CESC,696.10,0.69,20289,695.30,696.15,60.00,22.00
96,CG Consumer,415.05,1.41,248938,415.75,415.80,200.00,81.00
97,Chambal Fert,291.60,0.78,91843,289.85,290.00,40.00,250.00
98,Chennai Petro,133.70,0.00,78652,133.60,133.70,100.00,54.00
99,Chola Fin Hold,680.00,0.87,2413,679.80,680.00,39.00,622.00
100,Chola Invest.,572.20,0.41,282694,571.80,571.95,30.00,48.00
101,Cipla,937.40,-1.02,522204,938.60,939.10,247.00,250.00
102,City Union Bank,167.60,0.36,213897,167.80,167.95,863.00,500.00
103,Coal India,148.90,-0.07,808458,148.90,148.95,1001.00,862.00
104,Cochin Shipyard,386.90,0.59,29646,386.25,386.60,9.00,147.00
105,COFORGE LTD.,3684.00,1.08,147376,3682.45,3684.00,79.00,137.00
106,Colgate,1704.10,-0.65,43286,1703.15,1703.30,853.00,215.00
107,Container Corp,710.00,0.20,235784,709.10,709.70,41.00,98.00
108,Coromandel Int,832.20,2.94,116720,834.20,834.45,10.00,8.00
109,CreditAccess Gr,698.80,1.88,63456,701.40,702.95,12.00,17.00
110,CRISIL,2060.05,0.84,7508,2058.05,2059.95,16.00,16.00
111,CSB Bank,324.50,-0.85,20222,324.95,325.25,88.00,129.00
112,Cummins,812.60,0.45,131471,812.30,812.70,111.00,16.00
113,Cyient,804.40,0.22,8648,804.40,804.90,32.00,142.00
114,Dabur India,543.10,0.34,323730,542.30,542.65,74.00,200.00
115,Dalmia Bharat,1802.50,0.82,736,1802.45,1803.80,2.00,2.00
116,DB Corp,95.70,2.13,39990,95.60,95.90,248.00,164.00
117,DCB Bank,104.45,0.43,80849,104.55,104.70,936.00,458.00
118,DCM Shriram,717.50,-0.54,13286,716.80,717.45,6.00,14.00
119,Deepak Nitrite,1737.45,-0.23,81803,1736.05,1736.60,1.00,6.00
120,Delta Corp,177.40,-0.17,221056,177.35,177.40,402.00,362.00
121,Dhani Services,182.90,4.48,425650,185.20,185.30,20.00,25.00
122,Dhanuka Agritec,939.00,-0.46,11399,937.95,938.95,1.00,1.00
123,Dilip Buildcon,561.75,-0.20,33007,561.50,561.80,20.00,122.00
124,Dish TV,15.35,0.66,825872,15.35,15.40,7005.00,258372.00
125,Dishman Carboge,213.80,1.40,78137,213.70,213.95,300.00,260.00
126,Divis Labs,4225.00,-0.06,33860,4229.70,4230.00,2.00,1397.00
127,Dixon Technolog,4378.70,1.20,44211,4376.00,4376.05,48.00,5.00
128,DLF,300.60,0.84,812130,300.15,300.30,446.00,2279.00
129,Dr Lal PathLab,2906.30,0.20,16653,2905.00,2905.55,21.00,14.00
130,Dr Reddys Labs,5257.40,-0.48,54692,5256.75,5257.15,50.00,30.00
131,eClerx Services,1255.20,-1.12,1961,1254.40,1254.55,2.00,4.00
132,Edelweiss,68.50,1.63,354848,68.40,68.55,631.00,578.00
133,Eicher Motors,2749.95,-0.42,136720,2754.25,2756.05,42.00,27.00
134,EID Parry,425.50,0.45,25113,425.05,425.45,28.00,25.00
135,EIH,112.70,1.99,189143,112.75,112.90,137.00,90.00
136,Elgi Equipments,214.95,1.56,34440,214.55,214.90,259.00,38.00
137,Emami,556.00,1.42,80374,556.00,556.40,1068.00,57.00
138,Endurance Techn,1506.05,0.16,23405,1504.70,1506.95,12.00,20.00
139,EngineersInd,85.20,0.41,238783,85.20,85.30,464.00,1177.00
140,EPL,248.25,-0.84,32602,248.25,248.30,162.00,16.00
141,Equitas Holding,90.55,0.55,128132,90.60,90.75,305.00,1462.00
142,Eris Life,704.40,0.99,19523,702.55,704.30,8.00,9.00
143,Esab India,1826.95,0.83,234,1824.15,1827.50,4.00,1.00
144,Escorts,1222.25,0.56,612493,1222.20,1222.85,61.00,20.00
145,Exide Ind,193.35,0.34,175342,193.35,193.40,227.00,73.00
146,FDC,337.00,0.01,5944,337.05,337.35,54.00,15.00
147,Federal Bank,88.10,0.00,1095757,88.00,88.05,9584.00,1875.00
